Value,Definition
Date_created,The date that the alert event is created
Date_updated,unclear
Email,unclear
Expired_flag_new,unclear
Expires_on,unclear
Id,unclear
IsSubsidiarySubscription,unclear
Org_id,unclear
Organization_id,unclear
Parent_id,unclear
Pricing_plan_id,unclear
Report_type,unclear
Report_type_one_id,unclear
Start_date,unclear
Target_id,unclear
Uid,unclear
WeightOfSubsidiaryTarget,unclear
